Country,"Best_Order(p,d,q)",Train_RMSE,Test_RMSE,RMSE_Diff
Australia,"(1, 0, 2)",1.9390792689105774,2.047462996181392,0.10838372727081458
Austria,"(0, 0, 0)",2.0066347891735763,2.4481370412181165,0.4415022520445402
Belgium,"(0, 0, 0)",2.800679836851796,2.616826392702606,0.18385344414918992
Bolivia,"(2, 0, 1)",1575.4173478186003,441.69816396880736,1133.719183849793
Burkina Faso,"(0, 0, 2)",6.877725563329442,4.636032996248289,2.2416925670811523
Canada,"(2, 1, 0)",1.4688486895677455,1.6454276529659606,0.1765789633982151
Colombia,"(2, 0, 2)",5.25597994150573,4.73099988297088,0.5249800585348501
Costa Rica,"(0, 0, 2)",11.116495049862145,10.405834072302783,0.7106609775593622
Cyprus,"(2, 1, 1)",2.4720570074322925,2.9775137210890117,0.5054567136567192
Denmark,"(2, 1, 0)",1.8518661680598603,2.0644366810534405,0.2125705129935802
Dominican Republic,"(0, 0, 2)",11.792455300444674,7.683895151816665,4.108560148628009
Ecuador,"(1, 0, 2)",13.308426364735055,13.329942265395674,0.021515900660618925
Egypt,"(0, 0, 0)",6.567097571388018,10.692042046902062,4.124944475514043
El Salvador,"(2, 0, 2)",3.9310393685527303,3.8302530245848763,0.10078634396785402
European Union (27),"(0, 0, 0)",2.990791590152756,3.695003636258357,0.7042120461056007
Finland,"(2, 1, 2)",2.418375582718008,2.4944443881294887,0.07606880541148087
France,"(0, 1, 1)",1.6412896299053488,1.642687069894234,0.0013974399888851963
Germany,"(0, 0, 0)",1.7371032058177824,2.061168232300372,0.3240650264825897
Greece,"(1, 1, 1)",3.7498476308562396,3.6638585331492486,0.08598909770699104
Guatemala,"(0, 0, 2)",6.9717181996918836,4.426727576156024,2.5449906235358597
Haiti,"(0, 0, 0)",9.550954217286819,12.340109710674419,2.7891554933876
Honduras,"(1, 1, 1)",5.280985666195653,4.097460625099294,1.1835250410963587
Iceland,"(0, 0, 1)",13.53050831154427,13.222967194367966,0.3075411171763047
India,"(2, 1, 0)",5.379050099346087,4.416337191886272,0.9627129074598155
Indonesia,"(1, 0, 2)",154.96920508080575,50.151697744051,104.81750733675474
Iran,"(0, 1, 0)",8.029843993221888,13.359593954585247,5.329749961363358
Iraq,"(2, 0, 2)",71.56619792692918,44.654796553305665,26.911401373623512
Ireland,"(0, 1, 1)",2.773403321766948,2.8033575910491613,0.029954269282213453
Israel,"(0, 0, 2)",43.21860231102795,31.434223927848794,11.784378383179156
Italy,"(0, 1, 2)",2.2518464494640438,2.4113236681749366,0.15947721871089282
Jamaica,"(0, 0, 2)",10.854932990550378,8.919124091558023,1.935808898992354
Japan,"(0, 0, 2)",2.8882866824215108,2.3842705629954426,0.5040161194260682
Kenya,"(0, 1, 0)",7.668481691026695,7.674414087096093,0.005932396069397328
Luxembourg,"(0, 0, 1)",1.7706209237477333,2.1472670899348167,0.37664616618708346
Malaysia,"(2, 0, 2)",2.4338921866278826,2.2141265064037032,0.21976568022417942
Malta,"(0, 0, 2)",2.591031437783892,2.16249177429666,0.42853966348723205
Mexico,"(0, 0, 2)",17.217472006432246,15.953101284184731,1.2643707222475147
Morocco,"(0, 0, 2)",3.1664538065489842,3.1916236736395622,0.025169867090578002
Myanmar,"(2, 0, 2)",11.031587070849667,10.524165689092772,0.5074213817568953
